CODE,DESCRIPTION,CATEGORY
A000,"Cholera due to Vibrio cholerae 01, biovar cholerae",Infectious & Parasitic Diseases
A001,"Cholera due to Vibrio cholerae 01, biovar eltor",Infectious & Parasitic Diseases
A009,"Cholera, unspecified",Infectious & Parasitic Diseases
A0100,"Typhoid fever, unspecified",Infectious & Parasitic Diseases
A0101,Typhoid meningitis,Infectious & Parasitic Diseases
A0102,Typhoid fever with heart involvement,Infectious & Parasitic Diseases
A0103,Typhoid pneumonia,Infectious & Parasitic Diseases
A0104,Typhoid arthritis,Infectious & Parasitic Diseases
A0105,Typhoid osteomyelitis,Infectious & Parasitic Diseases
A0109,Typhoid fever with other complications,Infectious & Parasitic Diseases
A011,Paratyphoid fever A,Infectious & Parasitic Diseases
A012,Paratyphoid fever B,Infectious & Parasitic Diseases
A013,Paratyphoid fever C,Infectious & Parasitic Diseases
A014,"Paratyphoid fever, unspecified",Infectious & Parasitic Diseases
A020,Salmonella enteritis,Infectious & Parasitic Diseases
A021,Salmonella sepsis,Infectious & Parasitic Diseases
A0220,"Localized salmonella infection, unspecified",Infectious & Parasitic Diseases
A0221,Salmonella meningitis,Infectious & Parasitic Diseases
A0222,Salmonella pneumonia,Infectious & Parasitic Diseases
A0223,Salmonella arthritis,Infectious & Parasitic Diseases
A0224,Salmonella osteomyelitis,Infectious & Parasitic Diseases
A0225,Salmonella pyelonephritis,Infectious & Parasitic Diseases
A0229,Salmonella with other localized infection,Infectious & Parasitic Diseases
A028,Other specified salmonella infections,Infectious & Parasitic Diseases
A029,"Salmonella infection, unspecified",Infectious & Parasitic Diseases
A030,Shigellosis due to Shigella dysenteriae,Infectious & Parasitic Diseases
A031,Shigellosis due to Shigella flexneri,Infectious & Parasitic Diseases
A032,Shigellosis due to Shigella boydii,Infectious & Parasitic Diseases
A033,Shigellosis due to Shigella sonnei,Infectious & Parasitic Diseases
A038,Other shigellosis,Infectious & Parasitic Diseases
A039,"Shigellosis, unspecified",Infectious & Parasitic Diseases
A040,Enteropathogenic Escherichia coli infection,Infectious & Parasitic Diseases
A041,Enterotoxigenic Escherichia coli infection,Infectious & Parasitic Diseases
A042,Enteroinvasive Escherichia coli infection,Infectious & Parasitic Diseases
A043,Enterohemorrhagic Escherichia coli infection,Infectious & Parasitic Diseases
A044,Other intestinal Escherichia coli infections,Infectious & Parasitic Diseases
A045,Campylobacter enteritis,Infectious & Parasitic Diseases
A046,Enteritis due to Yersinia enterocolitica,Infectious & Parasitic Diseases
A047,Enterocolitis due to Clostridium difficile,Infectious & Parasitic Diseases
A0471,"Enterocolitis due to Clostridium difficile, recurrent",Infectious & Parasitic Diseases
A0472,"Enterocolitis d/t Clostridium difficile, not spcf as recur",Infectious & Parasitic Diseases
A048,Other specified bacterial intestinal infections,Infectious & Parasitic Diseases
A049,"Bacterial intestinal infection, unspecified",Infectious & Parasitic Diseases
A050,Foodborne staphylococcal intoxication,Infectious & Parasitic Diseases
A051,Botulism food poisoning,Infectious & Parasitic Diseases
A052,Foodborne Clostridium perfringens intoxication,Infectious & Parasitic Diseases
A053,Foodborne Vibrio parahaemolyticus intoxication,Infectious & Parasitic Diseases
A054,Foodborne Bacillus cereus intoxication,Infectious & Parasitic Diseases
A055,Foodborne Vibrio vulnificus intoxication,Infectious & Parasitic Diseases
A058,Other specified bacterial foodborne intoxications,Infectious & Parasitic Diseases
A059,"Bacterial foodborne intoxication, unspecified",Infectious & Parasitic Diseases
A060,Acute amebic dysentery,Infectious & Parasitic Diseases
A061,Chronic intestinal amebiasis,Infectious & Parasitic Diseases
A062,Amebic nondysenteric colitis,Infectious & Parasitic Diseases
A063,Ameboma of intestine,Infectious & Parasitic Diseases
A064,Amebic liver abscess,Infectious & Parasitic Diseases
A065,Amebic lung abscess,Infectious & Parasitic Diseases
A066,Amebic brain abscess,Infectious & Parasitic Diseases
